
Host: noto.epfl.ch

Timers On : Mon Sep  6 16:05:48 2021
Timers Off: Mon Sep  6 16:44:39 2021

Wall Time:     2330.68 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

Host: noto.epfl.ch

Timers On : Mon Sep  6 16:05:53 2021
Timers Off: Mon Sep  6 16:44:39 2021

Wall Time:     2326.55 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
JK: J1                        :      0.000u      0.000s      0.007w     66 calls
JK: K2                              :      0.300u      0.000s      0.204w     88 calls
| | | JK: AO2USO                          :      0.000u      0.000s      0.001w    270 calls
JK: J2                        :      0.000u      0.000s      0.007w     66 calls
| | HF: Form F                          :      0.033u      0.000s      0.239w    270 calls
JK: K                           :      0.567u      0.033s      0.327w     33 calls
HF: Form D                          :      0.050u      0.000s      0.066w    270 calls
| | | HF: DIIS                            :      5.017u      0.600s      4.102w    266 calls
JK: K1                        :      0.483u      0.017s      0.250w     66 calls
DIISManager::add_entry              :      3.300u      0.450s      3.306w    251 calls
| | | DIISManager::extrapolate            :      0.583u      0.050s      0.205w    251 calls
JK: K2                        :      0.067u      0.017s      0.075w     66 calls
| bMatrix setup                       :      0.317u      0.000s      0.120w    251 calls
JK: AO2USO                        :      0.000u      0.000s      0.003w    635 calls
bMatrix pseudoinverse               :      0.050u      0.017s      0.021w    251 calls
HF: Form F                          :      0.050u      0.017s      0.311w    635 calls
New vector                          :      0.167u      0.033s      0.059w    251 calls
HF: Form D                          :      0.117u      0.000s      0.028w    635 calls
HF: Form C                          :      2.233u      0.200s      1.325w    266 calls
HF: DIIS                            :      8.617u      1.050s      6.705w    632 calls
Grad: V T Perturb                   :      2.233u      0.100s      1.249w     13 calls
| Grad: S                             :      0.050u      0.000s      0.008w     13 calls
DIISManager::add_entry            :      5.450u      0.567s      4.973w    589 calls
| Grad: JK                            :     12.983u      0.750s     16.745w     13 calls
DIISManager::extrapolate          :      1.017u      0.250s      0.600w    589 calls
JKGrad: Amn                         :      1.983u      0.033s      0.948w     13 calls
| | JKGrad: Awmn                        :      0.000u      0.000s      0.000w     13 calls
bMatrix setup                   :      0.400u      0.100s      0.215w    589 calls
JKGrad: AB                          :      0.867u      0.033s      0.484w     13 calls
| | JKGrad: UV                          :      0.033u      0.017s      0.014w     13 calls
bMatrix pseudoinverse           :      0.217u      0.017s      0.047w    589 calls
JKGrad: ABx                         :      0.317u      0.083s      0.249w     13 calls
| | JKGrad: Amnx                        :      4.250u      0.067s      2.582w     13 calls
New vector                      :      0.350u      0.117s      0.326w    589 calls
Grad: XC                            :      0.000u      0.000s      0.000w     13 calls
HF: Form C                          :      4.050u      0.483s      2.436w    632 calls
Total PK formation time             :      9.900u      0.300s      6.156w      8 calls
Grad: V T Perturb                   :      6.600u      0.183s      3.681w     41 calls
Grad: S                             :      0.133u      0.000s      0.022w     41 calls
trans_ints                          :     63.167u     20.733s    111.253w      8 calls
Trans (OO|OO)                       :     10.833u      3.733s     24.786w      8 calls
Grad: JK                            :     34.733u      2.317s     34.251w     41 calls
Trans (OO|OV)                       :      2.783u      0.417s      4.427w      8 calls
| Trans (OO|VV)                       :      2.550u      0.383s      4.180w      8 calls
JKGrad: Amn                       :      5.083u      0.083s      2.410w     41 calls
Trans (OV|OO)                       :     10.050u      3.033s     21.170w      8 calls
| | Trans (OV|OV)                       :      4.850u      0.633s      8.011w      8 calls
Libint2ERI::Libint2ERI          :      1.650u      0.050s      0.931w     82 calls
Trans (OV|VV)                       :      6.050u      0.967s      6.603w      8 calls
| Trans (VV|OO)                       :     14.167u      7.550s     26.888w      8 calls
JKGrad: Awmn                      :      0.000u      0.000s      0.000w     41 calls
Trans (VV|OV)                       :      9.167u      2.633s     10.985w      8 calls
| Sort chem -> phys                   :      1.000u      1.017s      1.422w      8 calls
JKGrad: AB                        :      2.333u      0.300s      1.330w     41 calls
Sort (OO|OO) -> <OO|OO>             :      0.017u      0.017s      0.019w      8 calls
| | Sort (OO|OV) -> <OO|OV>             :      0.033u      0.083s      0.066w      8 calls
Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.006w     82 calls
| Sort (OV|OV) -> <OO|VV>             :      0.050u      0.167s      0.329w      8 calls
JKGrad: UV                        :      0.083u      0.000s      0.032w     41 calls
Sort (OO|VV) -> <OV|OV>             :      0.117u      0.167s      0.199w      8 calls
| Sort (OV|VV) -> <OV|VV>             :      0.767u      0.583s      0.809w      8 calls
JKGrad: ABx                       :      0.950u      0.100s      0.654w     41 calls
Antisymmetrize integrals            :      0.067u      0.183s      0.147w      8 calls
| | Make <OO||OO>                       :      0.000u      0.000s      0.002w      8 calls
Libint2ERI::Libint2ERI          :      0.017u      0.000s      0.008w     82 calls
| Make <OO||OV>                       :      0.017u      0.000s      0.007w      8 calls
JKGrad: Amnx                      :     10.100u      0.100s      5.751w     41 calls
Make <OO||VV>                       :      0.017u      0.067s      0.057w      8 calls
| | Make <OV||OV>                       :      0.033u      0.117s      0.080w      8 calls
Libint2ERI::Libint2ERI          :      1.783u      0.067s      0.866w     82 calls
Trans OEI                           :      0.017u      0.000s      0.005w     12 calls
Grad: XC                            :      0.017u      0.000s      0.000w     41 calls
Build Denominators                  :      0.067u      0.083s      0.054w      8 calls
Total PK formation time             :      9.283u      0.167s      5.596w      8 calls
T2(1)                               :      1.067u      0.333s      3.917w      8 calls
| MP2 Energy                          :      0.933u      0.167s      2.082w      8 calls
Libint2ERI::Libint2ERI            :      0.717u      0.033s      0.530w     24 calls
G int                               :      2.950u      0.367s      3.485w      8 calls
Libint2ERI::Libint2ERI              :      1.000u      0.000s      0.591w     36 calls
OPDM                                :      0.017u      0.000s      0.002w      8 calls
TPDM OOVV                           :      3.100u      0.500s      3.707w      8 calls
trans_ints                          :     59.267u     19.650s     93.615w      8 calls
| TPDM REF                            :      1.500u      0.167s      1.630w      8 calls
Trans (OO|OO)                     :     10.683u      3.800s     24.887w      8 calls
TPDM CORR OPDM                      :      2.050u      0.450s      2.170w      8 calls
| JK: (A|mn)                          :      0.233u      0.000s      0.073w      4 calls
Trans (OO|OV)                     :      1.883u      0.183s      2.705w      8 calls
JK: (A|Q)^-1/2                      :      0.300u      0.000s      0.127w      4 calls
| JK: (Q|mn)                          :      0.100u      0.000s      0.382w      4 calls
Trans (OO|VV)                     :      3.100u      0.517s      3.588w      8 calls
| DF CC Integrals                     :      7.700u      1.017s      9.265w      4 calls
Trans (OV|OO)                     :      9.417u      2.817s     14.851w      8 calls
Form J                              :      0.600u      0.083s      0.958w      4 calls
| Form B(Q,munu)                      :      1.550u      0.100s      1.079w      4 calls
Trans (OV|OV)                     :      4.050u      0.533s      6.475w      8 calls
| Form B(Q,ij)                        :      1.233u      0.133s      0.991w      4 calls
Trans (OV|VV)                     :      5.483u      0.933s      6.323w      8 calls
Form B(Q,ia)                        :      2.267u      0.433s      3.322w      4 calls
| Form B(Q,ab)                        :      1.933u      0.267s      2.332w      4 calls
Trans (VV|OO)                     :     13.683u      7.100s     23.020w      8 calls
1st-order T2                        :      5.483u      0.733s      8.154w      4 calls
| Build (IA|JB)                       :      0.767u      0.083s      0.856w      4 calls
Trans (VV|OV)                     :      9.100u      2.433s      9.257w      8 calls
Build <PQ||RS>                      :      0.067u      0.000s      0.015w     16 calls
| Build (ia|jb)                       :      0.267u      0.033s      0.589w      4 calls
Sort chem -> phys                 :      1.000u      1.017s      1.161w      8 calls
| | Build (IA|jb)                       :      0.633u      0.067s      2.046w      4 calls
Sort (OO|OO) -> <OO|OO>         :      0.017u      0.000s      0.019w      8 calls
MP3                                 :     34.683u      3.317s     38.200w      4 calls
| | WmnijT2                             :      4.417u      0.483s      4.109w     12 calls
Sort (OO|OV) -> <OO|OV>         :      0.067u      0.033s      0.066w      8 calls
| | WmbejT2                             :     14.867u      1.533s     14.504w     12 calls
Sort (OV|OV) -> <OO|VV>         :      0.033u      0.167s      0.122w      8 calls
WabefT2                             :     11.200u      0.750s     11.107w     12 calls
| | 
--------------------------------------------------------------------------------------
Sort (OO|VV) -> <OV|OV>         :      0.250u      0.167s      0.184w      8 calls
DFH: sparsity prep                  :      0.450u      0.067s      0.449w     13 calls
| | | Sort (OV|VV) -> <OV|VV>         :      0.633u      0.633s      0.769w      8 calls
Libint2ERI::Libint2ERI            :      0.250u      0.050s      0.316w     13 calls
| DFH: initialize()                   :      2.467u      0.250s      1.404w     13 calls
Antisymmetrize integrals          :      0.083u      0.200s      0.146w      8 calls
| | | Libint2ERI::Libint2ERI            :      0.333u      0.017s      0.175w     39 calls
Make <OO||OO>                   :      0.000u      0.000s      0.002w      8 calls
| | | DFH: AO Construction              :      0.883u      0.000s      0.509w     13 calls
Make <OO||OV>                   :      0.000u      0.017s      0.007w      8 calls
| | | DFH: AO-Met. Contraction          :      0.317u      0.083s      0.251w     13 calls
Make <OO||VV>                   :      0.017u      0.067s      0.057w      8 calls
HF: Form core H                     :      4.050u      0.467s      5.481w     25 calls
| | HF: Form S/X                        :      0.533u      0.100s      0.613w     25 calls
Make <OV||OV>                   :      0.067u      0.117s      0.080w      8 calls
| HF: Guess                           :      1.733u      0.050s      0.918w     25 calls
| Trans OEI                         :      0.000u      0.000s      0.003w      8 calls
| SAD Guess                         :      1.550u      0.033s      0.836w      4 calls
Build Denominators                :      0.050u      0.033s      0.038w      8 calls
HF: Form G                          :      6.950u      0.217s      4.302w    270 calls
| T2(1)                               :      1.467u      0.383s      3.962w      8 calls
JK: D                             :      0.033u      0.000s      0.013w    270 calls
MP2 Energy                          :      1.483u      0.267s      2.538w      8 calls
| G int                               :      2.533u      0.300s      2.630w      8 calls
JK: USO2AO                        :      0.017u      0.000s      0.008w    270 calls
OPDM                                :      0.000u      0.000s      0.005w      8 calls
| TPDM OOVV                           :      2.567u      0.450s      2.745w      8 calls
JK: JK                            :      6.650u      0.167s      4.087w    270 calls
| | TPDM REF                            :      1.283u      0.150s      1.188w      8 calls
DFH: compute_JK()               :      1.250u      0.017s      0.659w    134 calls
TPDM CORR OPDM                      :      2.100u      0.333s      2.233w      8 calls
| | | JK: (A|mn)                          :      0.133u      0.000s      0.042w      3 calls
DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    134 calls
| | | JK: (A|Q)^-1/2                      :      0.183u      0.000s      0.095w      3 calls
| DFH: compute_J                :      0.200u      0.000s      0.179w    134 calls
| | | Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.000w      6 calls
DFH: compute_K                :      0.933u      0.017s      0.460w    134 calls
JK: (Q|mn)                          :      0.050u      0.000s      0.015w      3 calls
| | DF CC Integrals                     :      5.000u      0.750s      6.017w      3 calls
PK computes JK                  :      4.067u      0.117s      2.575w     92 calls
| | | Form J                            :      0.283u      0.050s      0.197w      3 calls
JK: J                           :      0.117u      0.017s      0.144w     44 calls
| | | | | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w      6 calls
JK: J1                        :      0.067u      0.017s      0.128w     88 calls
| | | | Form B(Q,munu)                    :      1.250u      0.167s      1.621w      3 calls
JK: J2                        :      0.000u      0.000s      0.013w     88 calls
| | | | Libint2ERI::Libint2ERI          :      0.200u      0.033s      0.061w      6 calls
JK: K                           :      1.167u      0.000s      0.696w     44 calls
| | | | Form B(Q,ij)                      :      0.767u      0.100s      0.621w      3 calls
JK: K1                        :      0.833u      0.000s      0.490w     88 calls
| | | | Form B(Q,ia)                      :      1.350u      0.250s      2.022w      3 calls
JK: K2                        :      0.300u      0.000s      0.204w     88 calls
| | Form B(Q,ab)                      :      1.317u      0.183s      1.229w      3 calls
JK: AO2USO                        :      0.000u      0.000s      0.001w    270 calls
| HF: Form F                          :      0.033u      0.000s      0.239w    270 calls
Trans OEI                         :      0.000u      0.000s      0.001w      3 calls
HF: Form D                          :      0.050u      0.000s      0.066w    270 calls
1st-order T2                        :      3.817u      0.400s      4.080w      3 calls
| HF: DIIS                            :      5.017u      0.600s      4.102w    266 calls
| Build (IA|JB)                     :      0.350u      0.033s      0.337w      3 calls
| DIISManager::add_entry            :      3.300u      0.450s      3.306w    251 calls
| Build <PQ||RS>                    :      0.000u      0.000s      0.004w      6 calls
| DIISManager::extrapolate          :      0.583u      0.050s      0.205w    251 calls
| | Build (ia|jb)                     :      0.267u      0.017s      0.928w      3 calls
| bMatrix setup                   :      0.317u      0.000s      0.120w    251 calls
| | Build (IA|jb)                     :      0.150u      0.000s      0.141w      3 calls
bMatrix pseudoinverse           :      0.050u      0.017s      0.021w    251 calls
MP3                                 :     23.567u      2.217s     24.819w      3 calls
| | | New vector                      :      0.167u      0.033s      0.059w    251 calls
WmnijT2                           :      3.550u      0.383s      3.729w      9 calls
HF: Form C                          :      2.233u      0.200s      1.325w    266 calls
| Grad: V T Perturb                   :      2.233u      0.100s      1.249w     13 calls
WmbejT2                           :      9.317u      1.100s      8.358w      9 calls
| Grad: S                             :      0.050u      0.000s      0.008w     13 calls
WabefT2                           :      7.000u      0.317s      7.014w      9 calls
Grad: JK                            :     12.983u      0.750s     16.745w     13 calls
| | Build <PQ||RS>                    :      0.017u      0.000s      0.004w      6 calls
JKGrad: Amn                       :      1.983u      0.033s      0.948w     13 calls

**************************************************************************************
| | Libint2ERI::Libint2ERI          :      0.617u      0.017s      0.319w     26 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w     13 calls
| JKGrad: AB                        :      0.867u      0.033s      0.484w     13 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.002w     26 calls
| JKGrad: UV                        :      0.033u      0.017s      0.014w     13 calls
| JKGrad: ABx                       :      0.317u      0.083s      0.249w     13 calls
| | Libint2ERI::Libint2ERI          :      0.033u      0.000s      0.003w     26 calls
| JKGrad: Amnx                      :      4.250u      0.067s      2.582w     13 calls
| | Libint2ERI::Libint2ERI          :      0.650u      0.050s      0.367w     26 calls
Grad: XC                            :      0.000u      0.000s      0.000w     13 calls
Total PK formation time             :      9.900u      0.300s      6.156w      8 calls
| Libint2ERI::Libint2ERI            :      0.583u      0.000s      0.352w     24 calls
Libint2ERI::Libint2ERI              :      1.050u      0.067s      0.653w     38 calls
trans_ints                          :     63.167u     20.733s    111.253w      8 calls
| Trans (OO|OO)                     :     10.833u      3.733s     24.786w      8 calls
| Trans (OO|OV)                     :      2.783u      0.417s      4.427w      8 calls
| Trans (OO|VV)                     :      2.550u      0.383s      4.180w      8 calls
| Trans (OV|OO)                     :     10.050u      3.033s     21.170w      8 calls
| Trans (OV|OV)                     :      4.850u      0.633s      8.011w      8 calls
| Trans (OV|VV)                     :      6.050u      0.967s      6.603w      8 calls
| Trans (VV|OO)                     :     14.167u      7.550s     26.888w      8 calls
| Trans (VV|OV)                     :      9.167u      2.633s     10.985w      8 calls
| Sort chem -> phys                 :      1.000u      1.017s      1.422w      8 calls
| | Sort (OO|OO) -> <OO|OO>         :      0.017u      0.017s      0.019w      8 calls
| | Sort (OO|OV) -> <OO|OV>         :      0.033u      0.083s      0.066w      8 calls
| | Sort (OV|OV) -> <OO|VV>         :      0.050u      0.167s      0.329w      8 calls
| | Sort (OO|VV) -> <OV|OV>         :      0.117u      0.167s      0.199w      8 calls
| | Sort (OV|VV) -> <OV|VV>         :      0.767u      0.583s      0.809w      8 calls
| Antisymmetrize integrals          :      0.067u      0.183s      0.147w      8 calls
| | Make <OO||OO>                   :      0.000u      0.000s      0.002w      8 calls
| | Make <OO||OV>                   :      0.017u      0.000s      0.007w      8 calls
| | Make <OO||VV>                   :      0.017u      0.067s      0.057w      8 calls
| | Make <OV||OV>                   :      0.033u      0.117s      0.080w      8 calls
| Trans OEI                         :      0.017u      0.000s      0.003w      8 calls
| Build Denominators                :      0.067u      0.083s      0.054w      8 calls
T2(1)                               :      1.067u      0.333s      3.917w      8 calls
MP2 Energy                          :      0.933u      0.167s      2.082w      8 calls
G int                               :      2.950u      0.367s      3.485w      8 calls
OPDM                                :      0.017u      0.000s      0.002w      8 calls
TPDM OOVV                           :      3.100u      0.500s      3.707w      8 calls
TPDM REF                            :      1.500u      0.167s      1.630w      8 calls
TPDM CORR OPDM                      :      2.050u      0.450s      2.170w      8 calls
JK: (A|mn)                          :      0.233u      0.000s      0.073w      4 calls
JK: (A|Q)^-1/2                      :      0.300u      0.000s      0.127w      4 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      8 calls
JK: (Q|mn)                          :      0.100u      0.000s      0.382w      4 calls
DF CC Integrals                     :      7.700u      1.017s      9.265w      4 calls
| Form J                            :      0.600u      0.083s      0.958w      4 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w      8 calls
| Form B(Q,munu)                    :      1.550u      0.100s      1.079w      4 calls
| | Libint2ERI::Libint2ERI          :      0.267u      0.017s      0.154w      8 calls
| Form B(Q,ij)                      :      1.233u      0.133s      0.991w      4 calls
| Form B(Q,ia)                      :      2.267u      0.433s      3.322w      4 calls
| Form B(Q,ab)                      :      1.933u      0.267s      2.332w      4 calls
| Trans OEI                         :      0.000u      0.000s      0.002w      4 calls
1st-order T2                        :      5.483u      0.733s      8.154w      4 calls
| Build (IA|JB)                     :      0.767u      0.083s      0.856w      4 calls
| Build <PQ||RS>                    :      0.000u      0.000s      0.007w      8 calls
| Build (ia|jb)                     :      0.267u      0.033s      0.589w      4 calls
| Build (IA|jb)                     :      0.633u      0.067s      2.046w      4 calls
MP3                                 :     34.683u      3.317s     38.200w      4 calls
| WmnijT2                           :      4.417u      0.483s      4.109w     12 calls
| WmbejT2                           :     14.867u      1.533s     14.504w     12 calls
| WabefT2                           :     11.200u      0.750s     11.107w     12 calls
| Build <PQ||RS>                    :      0.067u      0.000s      0.007w      8 calls

**************************************************************************************

Host: noto.epfl.ch

Timers On : Mon Sep  6 16:55:12 2021
Timers Off: Mon Sep  6 17:22:59 2021

Wall Time:     1667.18 seconds


                                                       Time (seconds)
Host: noto.epfl.ch

Module                                       User      System        Wall        Calls
Timers On : Mon Sep  6 16:44:54 2021
Timers Off: Mon Sep  6 17:22:59 2021

Wall Time:     2285.64 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.250u      0.017s      0.159w     13 calls
Libint2ERI::Libint2ERI              :      0.833u      0.000s      0.447w     91 calls
DFH: initialize()                   :      4.050u      0.117s      2.562w     13 calls
DFH: AO Construction                :      1.233u      0.033s      0.761w     13 calls
DFH: AO-Met. Contraction            :      1.383u      0.000s      0.836w     13 calls
HF: Form core H                     :      0.100u      0.000s      2.945w     13 calls
HF: Form S/X                        :      0.100u      0.000s      0.057w     13 calls
HF: Guess                           :      0.000u      0.000s      0.007w     13 calls
HF: Form G                          :      7.500u      0.017s      4.403w    185 calls
